Date,Electricity Direct Use,"Electricity End Use, Total",Electricity Exports,Electricity Imports,"Electricity Net Generation, Commercial Sector","Electricity Net Generation, Electric Power Sector","Electricity Net Generation, Industrial Sector","Electricity Net Generation, Total",Electricity Net Imports,"Electricity Retail Sales, Total",Transmission and Distribution Losses and Unaccounted for
1995-12,12.655,265.537,.24,2.521,.562,272.179,12.814,285.554,2.281,252.882,22.298
1996-01,13.122,285.304,.259,2.6,.614,283.164,13.145,296.923,2.341,272.182,13.96
1996-02,11.73,267.834,.164,2.986,.571,258.386,11.728,270.685,2.822,256.104,5.673
1996-03,12.445,261.478,.172,3.344,.619,261.97,12.43,275.019,3.172,249.033,16.712
1996-04,11.016,241.353,.115,3.214,.6,240.062,10.951,251.613,3.099,230.337,13.358
1996-05,12.032,251.7,.387,3.4,.792,269.65,11.824,282.266,3.014,239.667,33.581
1996-06,12.966,278.867,.259,4,.904,289.121,12.692,302.717,3.741,265.901,27.591
1996-07,13.847,299.818,.268,4.792,1.043,313.189,13.476,327.708,4.524,285.971,32.415
1996-08,14.338,304.211,.308,5.377,1.01,314.253,14.024,329.286,5.068,289.873,30.144
1996-09,12.702,280.718,.339,4.038,.855,269.833,12.463,283.151,3.699,268.016,6.132
1996-10,13.192,258.423,.203,3.371,.77,257.615,13.061,271.446,3.169,245.232,16.192
1996-11,12.819,253.611,.252,3.269,.656,255.681,12.785,269.122,3.017,240.792,18.529
1996-12,12.43,270.449,.576,3.106,.596,271.216,12.437,284.25,2.53,258.019,16.33
1997-01,13.386,288.652,.559,3.074,.546,286.626,13.402,300.574,2.515,275.266,14.437
1997-02,11.725,262.503,.73,2.768,.524,245.914,11.693,258.131,2.038,250.778,-2.334
1997-03,12.649,256.201,.598,3.102,.605,259.078,12.574,272.258,2.504,243.552,18.561
1997-04,12.335,247.091,.512,3.467,.635,245.431,12.218,258.284,2.955,234.755,14.148
1997-05,12.666,249.439,.57,2.872,.704,259.716,12.493,272.914,2.302,236.773,25.777
1997-06,12.652,274.074,.608,3.608,.805,285.909,12.378,299.092,3,261.423,28.017
1997-07,14.131,310.389,.599,4.641,1.037,329.793,13.687,344.516,4.042,296.258,38.17
1997-08,14.179,308.544,.538,4.525,.975,318.125,13.799,332.899,3.987,294.365,28.342
1997-09,13.215,291.931,.84,3.776,.854,287.287,12.915,301.057,2.936,278.717,12.062
1997-10,13.696,276.559,1.519,3.746,.736,270.7,13.534,284.971,2.228,262.863,10.64
1997-11,12.666,259.225,1.155,3.795,.614,257.924,12.584,271.121,2.64,246.56,14.535
1997-12,12.941,277.242,.747,3.658,.665,282.872,12.819,296.356,2.912,264.3,22.026
1998-01,13.751,284.851,1.132,2.697,.548,281.337,13.375,295.26,1.565,271.099,11.974
1998-02,11.808,261.068,1.068,2.495,.481,248.634,11.475,260.59,1.427,249.26,.949
1998-03,13.051,266.726,1.069,2.954,.62,273.664,12.594,286.878,1.884,253.675,22.036
1998-04,12.503,252.048,.804,3.369,.597,248.57,12.063,261.23,2.566,239.545,11.747
1998-05,13.407,267.087,1.065,3.166,.773,286.065,12.801,299.64,2.101,253.68,34.654
1998-06,12.885,296.878,1.321,3.452,.869,315.857,12.178,328.903,2.13,283.993,34.155
1998-07,14.889,328.411,1.147,4.615,1.02,346.861,14.055,361.936,3.468,313.522,36.994
1998-08,15.202,333.857,.793,5.108,1.028,341.973,14.365,357.366,4.315,318.655,27.824
1998-09,14.022,311.12,1.234,3.85,.894,304.726,13.304,318.924,2.616,297.097,10.421
1998-10,13.416,279.719,1.531,3.005,.704,270.862,12.88,284.446,1.474,266.303,6.201
1998-11,12.283,262.297,1.331,2.262,.557,254.7,11.88,267.136,.931,250.014,5.77
1998-12,13.649,281.035,1.16,2.54,.658,284.166,13.162,297.986,1.38,267.386,18.331
1999-01,14.888,298.421,1.546,2.329,.598,301.516,13.7,315.814,.783,283.533,18.175
1999-02,12.959,264.108,1.376,2.1,.544,262.375,11.901,274.82,.723,251.15,11.435
1999-03,13.336,274.11,1.886,2.557,.638,285.337,12.17,298.145,.671,260.773,24.706
1999-04,13.978,260.766,1.348,3.836,.713,267.295,12.711,280.719,2.489,246.788,22.442
1999-05,14.776,269.133,1.226,3.768,.756,285.908,13.435,300.098,2.541,254.356,33.507
1999-06,14.174,298.908,1.063,3.558,.835,315.311,12.778,328.924,2.495,284.733,32.511
1999-07,16.099,340.414,.908,3.557,1.006,361.077,14.455,376.538,2.649,324.315,38.773
1999-08,16.149,339.129,.618,3.531,.968,348.523,14.541,364.031,2.913,322.98,27.815
1999-09,14.317,309.115,.593,4.594,.733,291.766,13.017,305.516,4.001,294.798,.401
1999-10,13.677,279.076,1.326,4.628,.668,270.8,12.467,283.935,3.302,265.399,8.161
1999-11,13.609,266.138,1.049,4.58,.551,258.026,12.519,271.096,3.531,252.529,8.489
1999-12,13.667,284.399,1.283,4.178,.554,282.049,12.571,295.174,2.895,270.732,13.671
2000-01,13.46,301.224,.73,3.641,.567,315.035,12.392,327.994,2.911,287.764,29.681
2000-02,13.367,285.462,.598,3.958,.523,281.3,12.346,294.169,3.36,272.095,12.067
2000-03,13.885,276.303,1.022,3.682,.605,288.212,12.763,301.58,2.66,262.418,27.937
2000-04,13.615,262.79,1.232,3.737,.608,272.47,12.5,285.578,2.505,249.175,25.292
2000-05,14.398,283.661,1.343,4.296,.765,309.092,13.096,322.954,2.953,269.263,42.246
2000-06,14.15,313.914,1.642,4.579,.743,325.431,12.88,339.054,2.937,299.765,28.077
2000-07,14.982,332.548,.844,5.234,.837,342.104,13.587,356.528,4.39,317.566,28.37
2000-08,16.012,346.745,.93,5.459,.891,353.254,14.525,368.669,4.529,330.733,26.454
2000-09,14.138,317.831,1.088,4.381,.703,298.835,12.909,312.447,3.293,303.693,-2.092
2000-10,14.272,287.107,1.138,2.761,.605,275.711,13.135,289.452,1.622,272.835,3.967
2000-11,13.861,277.982,1.185,3.442,.536,271.325,12.809,284.67,2.257,264.121,8.946
2000-12,14.801,306.789,3.077,3.422,.519,304.761,13.731,319.011,.344,291.988,12.566
2001-01,14.289,325.135,1.549,3.415,.629,318.736,13.128,332.493,1.865,310.846,9.223
2001-02,12.432,284.756,2.852,3.316,.548,270.971,11.421,282.94,.464,272.324,-1.351
2001-03,13.51,282.825,1.793,3.527,.553,287.7,12.454,300.707,1.734,269.315,19.616
2001-04,12.697,267.023,1.415,3.793,.55,265.855,11.674,278.079,2.378,254.326,13.434
2001-05,12.803,277.245,1.549,4.416,.575,288.166,11.751,300.492,2.867,264.442,26.113
2001-06,13.032,303.011,1.276,3.695,.598,315.148,11.949,327.694,2.42,289.979,27.103
2001-07,14.313,330.163,1.173,3.521,.732,343.834,13.048,357.614,2.348,315.85,29.799
2001-08,14.937,347.193,1.158,3.751,.814,356.152,13.566,370.533,2.593,332.256,25.933
2001-09,13.552,309.594,1.321,1.936,.636,293.882,12.412,306.929,.615,296.042,-2.05
2001-10,13.859,281.455,.797,1.775,.622,281.391,12.721,294.734,.978,267.596,14.257
2001-11,13.273,266.216,.986,2.136,.548,266.155,12.23,278.934,1.15,252.943,13.868
2001-12,13.953,282.491,.604,3.22,.611,292.063,12.822,305.496,2.616,268.538,25.621
2002-01,14.303,305.271,.841,3.306,.597,306.171,13.173,319.941,2.465,290.967,17.136
2002-02,12.827,276.556,.863,2.793,.5,269.476,11.85,281.826,1.93,263.728,7.2
2002-03,13.738,281.198,1.785,3.312,.573,289.322,12.654,302.549,1.527,267.46,22.878
2002-04,13.214,271.16,1.73,3.411,.546,277.126,12.176,289.848,1.681,257.946,20.369
2002-05,13.666,282.99,1.766,2.392,.566,294.517,12.592,307.675,.627,269.323,25.312
2002-06,13.992,310.461,1.338,3.152,.642,327.553,12.829,341.023,1.814,296.47,32.376
2002-07,15.126,352.411,.707,4.293,.743,366.98,13.82,381.542,3.587,337.285,32.718
2002-08,14.786,352.9,1.106,4.067,.797,360.351,13.438,374.586,2.961,338.115,24.647
2002-09,13.818,324.316,1.154,2.763,.676,317.976,12.628,331.279,1.609,310.498,8.572
2002-10,13.465,297.643,1.16,2.482,.6,294.096,12.363,307.059,1.322,284.178,10.739
2002-11,13.415,276.449,1.604,2.537,.554,283.374,12.361,296.29,.933,263.034,20.774
2002-12,13.833,300.296,1.743,2.27,.622,311.516,12.697,324.834,.527,286.462,25.065
2003-01,15.106,319.369,1.737,3.063,.617,327.446,13.926,341.989,1.326,304.263,23.946
2003-02,13.035,295.275,1.793,2.725,.55,286.699,11.999,299.249,.931,282.24,4.905
2003-03,13.743,288.217,2.384,2.758,.594,291.086,12.637,304.317,.374,274.473,16.475
2003-04,13.232,269.942,1.724,2.561,.581,273.016,12.159,285.756,.837,256.71,16.65
2003-05,13.819,282.607,2.383,2.783,.598,294.241,12.706,307.545,.399,268.788,25.338
2003-06,13.905,304.355,2.481,2.872,.624,315.306,12.763,328.694,.391,290.45,24.729
2003-07,14.833,349.042,1.423,3.727,.709,360.116,13.571,374.396,2.303,334.209,27.658
2003-08,14.953,356.772,1.408,3.614,.718,367.42,13.678,381.816,2.206,341.819,27.25
2003-09,13.902,320.492,2.118,1.723,.64,309.751,12.744,323.136,-.395,306.59,2.249
2003-10,13.973,291.353,2.255,.855,.636,293.289,12.816,306.741,-1.399,277.38,13.989
2003-11,13.466,276.443,2.153,1.382,.588,284.902,12.377,297.867,-.771,262.977,20.653
2003-12,14.328,308.164,2.114,2.332,.64,317.887,13.154,331.68,.218,293.836,23.734
2004-01,14.8,322.657,2.149,2.276,.694,332.296,13.555,346.546,.127,307.856,24.016
2004-02,13.505,299.938,2.007,1.89,.654,301.278,12.348,314.28,-.117,286.433,14.225
2004-03,13.819,292.001,2.685,1.762,.634,295.508,12.67,308.812,-.923,278.182,15.889
2004-04,13.458,276.309,2.077,2.082,.623,277.603,12.334,290.56,.004,262.851,14.255
2004-05,13.985,293.021,2.272,2.448,.699,313.916,12.765,327.38,.176,279.036,34.535
2004-06,14.079,321.851,2.302,2.944,.702,331.531,12.853,345.085,.642,307.772,23.876
2004-07,14.957,348.864,1.271,4.168,.763,362.932,13.637,377.332,2.897,333.907,31.364
2004-08,14.469,345.396,1.349,4.777,.749,354.509,13.181,368.439,3.428,330.927,26.471
2004-09,13.807,322.373,1.988,2.938,.707,322.329,12.586,335.622,.95,308.566,14.199
2004-10,13.476,295.213,1.563,2.625,.673,299.476,12.301,312.45,1.062,281.737,18.3
2004-11,13.392,283.555,1.539,3.035,.656,289.208,12.237,302.101,1.496,270.163,20.042
2004-12,14.721,314.771,1.696,3.266,.714,327.775,13.459,341.948,1.57,300.05,28.746
2005-01,12.948,322.027,1.695,3.173,.737,329.896,12.489,343.121,1.478,309.079,22.572
2005-02,11.684,291.198,1.197,2.997,.656,286.566,11.279,298.5,1.799,279.514,9.102
2005-03,12.565,299.356,1.056,3.445,.702,304.624,12.132,317.458,2.389,286.791,20.491
2005-04,11.905,276.073,1.188,3.027,.649,277.402,11.512,289.562,1.838,264.168,15.328
2005-05,12.276,285.776,1.762,3.281,.686,302.523,11.853,315.062,1.519,273.5,30.805
2005-06,13.143,332.524,1.996,3.587,.763,350.246,12.662,363.672,1.591,319.381,32.738
2005-07,14.337,369.851,1.582,4.381,.823,387.63,13.821,402.274,2.799,355.514,35.222
2005-08,14.375,376.918,1.467,4.985,.821,390.258,13.862,404.941,3.518,362.544,31.54
2005-09,12.273,343.197,1.863,3.709,.718,337.681,11.819,350.218,1.846,330.923,8.867
2005-10,10.962,308.589,1.779,3.65,.644,305.201,10.553,316.398,1.871,297.626,9.681
2005-11,11.184,285.77,1.715,3.77,.627,294.691,10.797,306.115,2.055,274.585,22.4
2005-12,12.362,319.705,1.85,3.925,.665,335.474,11.962,348.101,2.075,307.343,30.471
2006-01,12.574,317.44,2.436,3.879,.684,315.254,12.72,328.658,1.443,304.866,12.661
2006-02,11.257,292.304,1.84,3.415,.643,295.333,11.357,307.333,1.575,281.046,16.605
2006-03,11.903,301.873,2.045,3.702,.643,306.041,12.046,318.73,1.658,289.97,18.514
2006-04,11.322,279.531,2.001,3.405,.625,285.788,11.445,297.858,1.403,268.208,19.731
2006-05,12.283,299.481,2.265,3.719,.713,317.522,12.38,330.616,1.453,287.198,32.588
2006-06,12.101,333.941,2.357,3.776,.724,351.36,12.176,364.26,1.419,321.84,31.739
2006-07,13.281,375.668,1.646,4.714,.783,396.263,13.375,410.421,3.068,362.387,37.821
2006-08,13.296,381.93,1.596,4.672,.78,393.589,13.394,407.763,3.076,368.634,28.909
2006-09,12.077,329.36,2.179,2.18,.682,319.181,12.193,332.055,.001,317.282,2.696
2006-10,12.522,303.708,2.311,2.664,.704,308.218,12.645,321.567,.354,291.186,18.212
2006-11,11.808,288.99,2.154,2.913,.682,296.571,11.906,309.159,.759,277.182,20.928
2006-12,12.501,312.62,1.441,3.652,.709,322.957,12.617,336.283,2.211,300.119,25.873
2007-01,11.258,326.361,1.575,3.477,.669,339.968,12.894,353.531,1.902,315.104,29.072
2007-02,9.479,310.81,1.356,4.193,.641,311.81,10.779,323.23,2.837,301.331,15.257
2007-03,10.077,301.738,2.092,3.894,.659,308.331,11.481,320.471,1.803,291.66,20.536
2007-04,9.857,285.197,1.168,3.996,.639,291.254,11.236,303.129,2.828,275.341,20.76
2007-05,10.274,303.074,1.155,4.639,.68,317.826,11.697,330.203,3.484,292.8,30.613
2007-06,10.306,333.313,1.307,4.492,.707,350.339,11.709,362.755,3.185,323.007,32.627
2007-07,11.05,363.692,1.737,5.507,.763,379.914,12.55,393.226,3.77,352.642,33.304
2007-08,11.564,384.929,1.908,5.399,.774,407.865,13.157,421.797,3.491,373.365,40.359
2007-09,10.526,348.051,2.456,3.838,.684,342.713,11.997,355.394,1.382,337.525,8.725
2007-10,10.613,318.395,1.556,3.568,.706,319.83,12.08,332.615,2.012,307.783,16.232
2007-11,10.123,296.422,1.789,4.322,.667,301.907,11.528,314.103,2.534,286.299,20.214
2007-12,10.545,318.249,2.045,4.07,.686,333.586,12.018,346.29,2.025,307.704,30.066
2008-01,11.997,338.211,1.757,5.009,.709,349.836,12.453,362.998,3.252,326.215,28.039
2008-02,10.768,315.863,1.533,4.587,.636,313.292,11.178,325.106,3.054,305.095,12.296
2008-03,11.138,305.763,2.65,4.796,.619,312.41,11.601,324.63,2.146,294.625,21.013
2008-04,10.63,288.593,1.329,4.062,.614,294.203,11.049,305.865,2.733,277.963,20.005
2008-05,10.964,299.24,3.028,5.339,.609,313.216,11.42,325.245,2.312,288.276,28.316
2008-06,11.391,339.983,3.373,6.12,.675,360.612,11.822,373.109,2.747,328.592,35.873
2008-07,12.38,372.807,1.708,6.021,.728,389.318,12.855,402.9,4.313,360.427,34.407
2008-08,12.191,364.047,1.481,5.822,.715,375.612,12.66,388.987,4.342,351.856,29.281
2008-09,10.058,331.964,1.797,4.856,.675,327.021,10.36,338.056,3.059,321.906,9.152
2008-10,10.735,302.497,2.037,3.644,.642,306.769,11.137,318.547,1.606,291.762,17.656
2008-11,9.866,288.196,2.06,3.282,.623,299.222,10.201,310.046,1.222,278.33,23.072
2008-12,10.08,318.996,1.446,3.481,.681,332.839,10.378,343.898,2.035,308.916,26.938
2009-01,10.369,331.993,2.25,4.266,.717,343.516,10.76,354.993,2.017,321.624,25.016
2009-02,9.637,295.889,1.531,3.885,.627,290.221,10.04,300.887,2.354,286.251,7.353
2009-03,10.251,294.059,1.707,2.949,.668,299.257,10.678,310.603,1.242,283.808,17.786
2009-04,9.526,274.99,1.486,3.291,.633,278.994,9.91,289.537,1.806,265.464,16.353
2009-05,9.767,285.043,1.39,4.127,.64,300.496,10.17,311.306,2.737,275.276,28.999
2009-06,10.524,316.044,1.626,4.73,.675,336.011,10.973,347.658,3.104,305.52,34.718
2009-07,11.475,349.353,1.421,5.5,.733,359.842,11.968,372.542,4.079,337.878,27.268
2009-08,11.82,356.666,1.355,5.83,.769,368.139,12.314,381.221,4.475,344.845,29.031
2009-09,11.057,321.62,1.381,4.471,.693,315.163,11.545,327.401,3.09,310.563,8.87
2009-10,10.795,297.911,1.357,4.71,.659,295.093,11.289,307.04,3.353,287.116,12.482
2009-11,10.501,278.659,1.283,3.831,.648,285.012,10.975,296.635,2.548,268.158,20.523
2009-12,11.214,321.505,1.352,4.6,.703,338.095,11.709,350.507,3.248,310.291,32.25
2010-01,11.084,342.963,1.17,5.31,.709,348.128,12.12,360.957,4.14,331.879,22.134
2010-02,10.144,308.604,1.025,4.413,.623,307.994,11.118,319.735,3.389,298.46,14.519
2010-03,10.884,303.395,1.305,4.355,.661,299.571,11.936,312.168,3.049,292.511,11.822
2010-04,10.091,277.143,1.278,3.885,.645,276.121,11.034,287.8,2.608,267.052,13.265
2010-05,10.611,294.34,1.737,3.06,.666,315.656,11.614,327.936,1.323,283.729,34.92
2010-06,11.037,341.93,1.56,4.055,.699,362.985,12.075,375.759,2.496,330.893,36.325
2010-07,11.69,380.708,1.494,4.307,.812,396.195,12.718,409.725,2.813,369.018,31.83
2010-08,12.298,384.067,1.819,3.638,.838,394.651,13.395,408.884,1.819,371.769,26.636
2010-09,11.221,338.964,2.386,2.907,.75,333.057,12.238,346.045,.521,327.742,7.602
2010-10,10.605,298.445,2.103,2.535,.712,295.646,11.562,307.921,.432,287.84,9.908
2010-11,10.52,285.42,1.874,2.667,.683,293.833,11.493,306.01,.793,274.9,21.383
2010-12,11.725,330.773,1.356,3.951,.793,348.549,12.777,362.119,2.595,319.048,33.942
2011-01,11.245,345.36,1.594,4.282,.817,350.001,12.054,362.872,2.688,334.116,20.199
2011-02,10.042,306.946,1.521,3.741,.725,301.632,10.77,313.127,2.22,296.903,8.401
2011-03,10.398,302.45,1.541,4.023,.753,306.808,11.149,318.71,2.482,292.052,18.742
2011-04,10.38,285.584,1.603,3.799,.706,290.519,11.175,302.401,2.196,275.204,19.013
2011-05,10.681,298.674,1.276,4.898,.867,311.403,11.359,323.628,3.622,287.993,28.576
2011-06,11.181,339.888,1.316,4.483,.86,354.929,11.938,367.727,3.167,328.707,31.005
2011-07,12.136,382.828,1.255,6.023,1.023,404.802,12.868,418.693,4.768,370.692,40.633
2011-08,12.292,385.012,1.009,5.584,.985,392.441,13.085,406.511,4.575,372.72,26.074
2011-09,11.199,337.446,1.016,4.036,.87,325.113,11.948,337.931,3.02,326.247,3.505
2011-10,10.504,298.637,.914,3.7,.799,296.676,11.224,308.699,2.787,288.133,12.849
2011-11,10.888,286.123,1.13,3.471,.8,291.639,11.663,304.102,2.341,275.235,20.32
2011-12,11.808,313.652,.874,4.26,.874,322.225,12.642,335.74,3.386,301.844,25.474
2012-01,11.668,322.643,.934,4.149,.916,326.186,12.425,339.528,3.215,310.975,20.1
2012-02,11.018,298.001,.869,3.639,.9,296.79,11.699,309.389,2.77,286.983,14.158
2012-03,11.013,294.744,1.198,4.205,.911,296.498,11.681,309.091,3.007,283.731,17.354
2012-04,10.535,281.294,1.256,4.996,.888,283.182,11.158,295.228,3.739,270.76,17.673
2012-05,11.297,308.266,1.15,5.472,.93,323.599,11.988,336.518,4.322,296.968,32.574
2012-06,11.427,336.586,1.211,5.37,.975,347.76,12.091,360.826,4.159,325.16,28.399
2012-07,12.528,383.49,1.008,6.675,1.135,400.315,13.19,414.64,5.667,370.963,36.816
2012-08,12.423,377.208,.85,6.347,1.046,381.494,13.16,395.7,5.497,364.785,23.989
2012-09,11.368,329.457,.906,4.908,.93,321.586,12.069,334.585,4.002,318.09,9.129
2012-10,11.146,301.882,.744,4.405,.904,298.905,11.841,311.651,3.661,290.735,13.43
2012-11,11.306,289.518,.8,4.695,.876,293.046,12.052,305.975,3.895,278.212,20.351
2012-12,11.927,309.216,1.07,4.397,.888,320.996,12.751,334.635,3.327,297.288,28.746
2013-01,12.296,332.978,1.056,5.378,.981,335.062,12.924,348.967,4.322,320.683,20.311
2013-02,11.079,302.559,.845,5.091,.888,297.198,11.642,309.728,4.246,291.48,11.415
2013-03,12,309.226,.952,5.578,.995,311.828,12.576,325.399,4.626,297.226,20.799
2013-04,11.076,288.858,1.248,5.224,.946,286.807,11.58,299.333,3.976,277.782,14.451
2013-05,11.608,301.006,.958,5.972,.981,309.028,12.147,322.156,5.014,289.398,26.164
2013-06,11.969,332.17,.779,6.292,1.026,343.286,12.511,356.823,5.514,320.201,30.167
2013-07,13.031,371.732,.983,6.855,1.236,380.108,13.502,394.846,5.872,358.701,28.986
2013-08,12.682,366.262,.848,6.991,1.147,370.943,13.195,385.286,6.142,353.58,25.167
2013-09,11.762,335.24,.726,5.658,1.073,327.638,12.23,340.941,4.932,323.478,10.633
2013-10,11.621,305.992,.971,5.319,.961,301.782,12.182,314.925,4.348,294.37,13.282
2013-11,11.718,293.212,.896,5.559,.936,301.287,12.317,314.54,4.664,281.494,25.991
2013-12,12.621,329.095,1.112,5.33,1.064,338.748,13.21,353.021,4.218,316.475,28.144
2014-01,12.043,353.281,1.282,5.467,1.218,363.645,12.391,377.255,4.184,341.238,28.158
2014-02,10.683,319.624,1.293,4.437,.961,312.276,11.112,324.348,3.145,308.941,7.869
2014-03,11.423,313.811,1.937,5.584,.972,318.914,11.937,331.823,3.647,302.388,21.659
2014-04,10.776,286.669,1.337,4.791,.927,285.453,11.251,297.631,3.453,275.894,14.415
2014-05,11.196,302.617,.826,5.39,.986,312.072,11.667,324.724,4.564,291.421,26.671
2014-06,11.376,334.168,1.045,5.493,1.041,344.988,11.814,357.844,4.448,322.792,28.124
2014-07,12.355,363.879,1.03,6.299,1.173,371.817,12.79,385.78,5.269,351.524,27.169
2014-08,12.421,364.304,.863,6.678,1.181,370.304,12.856,384.341,5.815,351.883,25.852
2014-09,11.619,338.526,.766,6.034,1.086,326.756,12.044,339.887,5.268,326.907,6.629
2014-10,11.216,307.896,.951,5.372,1.008,301.847,11.667,314.522,4.421,296.68,11.047
2014-11,11.288,296.701,.875,5.583,.96,304.738,11.797,317.495,4.708,285.413,25.502
2014-12,12.179,321.799,1.092,5.383,1.007,324.193,12.757,337.957,4.291,309.62,20.448
2015-01,12.214,341.881,.817,6.039,.981,346.758,12.717,360.455,5.221,329.666,23.796
2015-02,10.703,317.472,1.355,5.574,.932,322.473,11.071,334.476,4.219,306.768,21.223
2015-03,11.103,316.455,.944,6.632,.977,311.741,11.475,324.192,5.688,305.352,13.425
2015-04,10.644,286.119,.585,6.528,.931,282.197,11.005,294.133,5.943,275.475,13.957
2015-05,11.178,299.268,.609,6.616,1.013,309.552,11.522,322.087,6.007,288.091,28.826
2015-06,11.897,338.294,.617,6.694,1.098,349.067,12.244,362.409,6.077,326.397,30.192
2015-07,12.956,375.894,.647,6.896,1.238,385.889,13.292,400.419,6.249,362.938,30.774
2015-08,12.716,374.748,.657,7.168,1.206,377.856,13.054,392.116,6.511,362.032,23.879
2015-09,12.042,345,.709,6.611,1.145,336.618,12.359,350.122,5.902,332.958,11.024
2015-10,11.542,307.598,.696,5.26,1.049,299.168,11.894,312.112,4.564,296.055,9.078
2015-11,11.684,287.6,.661,5.849,.992,287.551,12.11,300.653,5.188,275.917,18.241
2015-12,12.488,309.831,.805,5.906,1.033,310.423,12.97,324.427,5.101,297.344,19.697
2016-01,12.247,329.4,.675,6.955,1.057,338.789,12.677,352.523,6.28,317.153,29.402
2016-02,11.324,304.647,.935,6.02,.944,301.029,11.755,313.729,5.085,293.323,14.166
2016-03,11.882,293.667,1.052,6.383,1.043,290.779,12.281,304.104,5.331,281.785,15.768
2016-04,11.258,277.231,.949,5.228,1.023,280.094,11.603,292.719,4.279,265.973,19.767
2016-05,11.668,292.375,.761,6.22,1.055,304.349,12.03,317.433,5.459,280.708,30.516
2016-06,11.929,337.303,.628,7.26,1.079,354.97,12.299,368.348,6.632,325.374,37.677
2016-07,12.558,379.761,.703,8.101,1.204,398.325,12.879,412.408,7.398,367.203,40.045
2016-08,12.577,388.632,.824,7.806,1.212,395.723,12.892,409.827,6.982,376.055,28.177
2016-09,11.681,344.059,.87,6.678,1.064,338.593,12.035,351.692,5.808,332.378,13.441
2016-10,11.313,303.297,.849,6.026,.968,300.102,11.719,312.788,5.177,291.985,14.667
