Date,"Gold, $/toz, nominal$","Meat, beef, $/kg, nominal$","Metals and minerals, 2010=100, nominal$","Tobacco, $/mt, nominal$","Sugar, world, $/kg, nominal$","Crude oil, Brendt, $/bbl, nominal$","Agriculture, 2010=100, nominal$","Agr: Food: Grains, 2010=100, nominal$","Aluminum, $/mt, nominal$","Agr: Beverages, 2010=100, nominal$","Coffee, Robusta, $/kg, nominal$"
2017-02,1234.2,4.06201235,77.88352144578,5016.51605434303,0.447317398,55.49,91.53845644998,79.1383807007,1860.75,85.20284636875,2.347699838
2017-01,1192.1,3.9132005,74.49150985923,5002.33668458022,0.448199246,54.89,91.37361228078,79.01127630547,1791.24,88.28940677341,2.388044384
2016-12,1157.36,3.87278246667,73.53247106295,4964.81666666667,0.407634238,54.07,89.37735990916,75.88728307893,1727.74,87.07828431788,2.24540547
2016-11,1238.35,4.0565008,71.51376131196,4922.625,0.446215088,46.44,89.90405244213,76.03004863537,1737.11,93.76018216974,2.286631864
2016-10,1266.55,3.94186056,64.12121850972,4944.64166666667,0.489866564,49.73,89.51195760611,76.48782180415,1665.9,94.6225033536,2.28508863
2016-09,1326.61,4.02122688,62.85560903013,4976.05833333333,0.474654686,46.19,90.47696668844,76.527009152,1592.36,94.84924542361,2.135835856
2016-08,1340.17,4.09177472,63.79442105122,4888.63333333333,0.443790006,46.14,90.91726761974,78.70365976461,1639.28,94.0964277031,2.023620698
2016-07,1336.65,4.1446856,63.45893121052,4877.84166666667,0.43210552,45.07,91.89654000994,83.58304947086,1629.05,95.20216275801,2.002235884
2016-06,1276.4,3.99697606,60.25926685657,4826.15833333333,0.42879859,48.48,93.83827279216,90.30504822574,1593.51,93.76936387077,1.894650428
2016-05,1260.95,3.9572929,59.96267946229,4691.04166666667,0.375005862,47.13,91.13500833197,87.30576475404,1550.63,90.79037304552,1.850337566
2016-04,1242.26,3.90548433,62.00929032653,4617.575,0.335763626,42.25,88.34538062087,85.71697430169,1571.23,89.6309743989,1.767664316
2016-03,1245.14,3.88454044,61.16599595301,4568.8,0.340393328,39.07,85.92346152054,84.41226672428,1531.01,88.23431863265,1.66669272
2016-02,1199.5,3.767144425,57.70301318731,4666.74166666667,0.292773536,33.2,84.17197471264,84.3079743626,1531.26,84.56915303947,1.632300648
2016-01,1097.91,3.502590025,55.22859847595,4729.225,0.30974911,30.8,83.50914630517,84.34234124704,1481.1,85.71351820836,1.647071602
2015-12,1075.74,3.73462628,56.37833488537,4789.65,0.322756368,37.72,85.39161389878,84.20210566091,1497.2,92.95024412351,1.747822736
2015-11,1086.44,3.904933175,57.85064578913,4813.09166666667,0.32077221,44.42,85.64894097882,83.62393659105,1467.89,93.57159146501,1.802056388
2015-10,1159.25,4.1005932,62.20113951817,4858.43333333333,0.306662642,48.12,86.7805791149,84.53103415047,1516.49,92.86105129425,1.824984436
2015-09,1124.77,4.472622825,63.40885554669,4887.35833333333,0.261467932,47.24,85.84302121314,82.25959695863,1589.6,91.76776480851,1.796544838
2015-08,1117.93,4.68261288,62.62861067345,4925.58333333333,0.2535313,46.99,87.52159303579,83.81446402327,1548.13,93.93243259301,1.891123036
2015-07,1128.31,4.49522018,65.69724641196,4878.08333333333,0.282852746,55.87,90.8048110206,90.95214510135,1639.5,96.3996837004,1.920664944
2015-06,1181.5,4.29349745,70.36121291865,4947.23333333333,0.274695652,62.34,90.16187622281,88.31481906177,1687.73,96.2209582589,1.989449088
2015-05,1198.63,4.38388687,74.5980934382,5018.00833333333,0.294096308,64.56,90.10036162277,88.94531479657,1804.04,93.37406593376,1.930365272
2015-04,1198.93,4.72670528,72.10039902534,4986.70833333333,0.288364296,59.39,90.44786764844,92.48330517966,1819.19,91.20633946865,2.029573172
2015-03,1178.63,4.560807625,71.77078042299,4961.56666666667,0.290127992,55.79,90.75108139693,94.12577340493,1773.86,89.06899067219,2.031777792
2015-02,1227.08,4.626946225,72.40273050644,4910.96666666667,0.321654058,57.93,93.35494816982,95.3142335055,1817.82,94.34862175158,2.168464232
2015-01,1250.75,5.10002093333,73.82345361448,4922.85833333333,0.338188708,48.07,94.67124447429,96.7906297791,1814.72,96.65197229461,2.160748062
2014-12,1200.62,5.37192406667,78.77555300541,4926.225,0.337968246,62.33,96.80832341317,99.68012291879,1909.46,99.01918520106,2.197344754
2014-11,1175.33,5.7650813,82.89030710653,4922.275,0.356927978,78.44,98.27635586885,98.00917590717,2055.55,101.43071507662,2.272081372
2014-10,1222.49,5.8973585,82.60746972981,4943.225,0.36927385,87.27,98.0117360525,92.92139416761,1946.19,106.8174739915,2.30823714
2014-09,1236.55,5.999322175,85.07021667072,4923.76666666667,0.353400586,97.34,98.41677316574,92.92070860317,1990.43,104.85108136214,2.216084024
2014-08,1295.13,5.71547735,88.03385374179,4919.96666666667,0.379635564,101.92,102.07335164727,99.1438978885,2030.49,106.86479563149,2.21013155
2014-07,1310.59,5.01771512,88.18183043721,4991.25833333333,0.402563612,106.98,103.16157102373,101.04478131267,1948.3,104.28195870997,2.244082698
2014-06,1279.1,4.41475155,84.35901480662,4996.075,0.400579454,111.87,105.15654517267,106.71211783279,1838.95,103.14169987779,2.180589642
2014-05,1288.74,4.2769628,84.84713666365,5117.55833333333,0.402784074,109.68,107.1780287768,112.92702892622,1751.05,105.07068882971,2.270317676
2014-04,1298.45,4.2218473,85.47825515708,5089.1,0.39132005,107.79,107.20639349597,113.13011720397,1810.67,106.13342017487,2.32697641
2014-03,1336.08,4.3651476,82.97936173713,5083.59166666667,0.39462698,107.4,107.99640261675,114.48559153379,1705.37,103.23011986208,2.323008094
2014-02,1299.58,4.19428955,86.16332398817,5051.89166666667,0.366187382,108.81,106.09753631922,110.30657714206,1695.17,94.5519587159,2.11423058
2014-01,1244.27,4.13917405,88.07568877782,4924.33333333333,0.344582106,107.42,102.33820798736,105.54831216822,1727.41,85.80420258448,1.934113126
2013-12,1221.5119047619,4.1116163,88.71366598638,4835.15,0.36489610457,110.674,103.37675732018,107.64430020195,1739.81,84.77970882199,1.937640518
2013-11,1275.86,4.03996615,87.82071529155,5051.89166666667,0.38937788476,108.07619047619,103.29575697368,109.00671489211,1747.96428571429,81.50600394254,1.75721861648
2013-10,1316.58,3.926979375,89.07356330013,4770.04166666667,0.41145877443,109.47869565217,104.04968615309,111.74719300587,1814.58260869565,83.05523669754,1.84526694
2013-09,1348.6,3.877375425,88.15323760672,4709.96666666667,0.3835928569,111.62142857143,103.62006327237,111.70016770434,1761.30476190476,82.60372273811,1.93514194867
2013-08,1351.74181818182,3.88380556667,89.63748054703,4675.55,0.37548687,110.96454545455,103.7512873166,120.93089062664,1817.61590909091,82.525536404,2.072583304
2013-07,1285.51565217391,3.9021774,85.66884144195,4635.35833333333,0.371187861,107.71608695652,105.5954515233,132.26001168592,1769.60869565217,81.50669770268,2.09895160487
2013-06,1343.35,3.86543373333,85.4117449957,4493.375,0.3768356966,103.11,107.73449261738,138.72691087038,1814.5375,80.65428597931,2.0014752901
2013-05,1414.02695652174,4.19759648,88.3155085324,4342.71666666667,0.38851417,103.02695652174,108.06296023145,140.02246879747,1832.02173913043,84.75591987048,2.18643667765
2013-04,1487.85727272727,4.262081615,90.7332321538,4366.9,0.392512549,102.87545454546,106.04360186512,136.09231777678,1861.67045454545,84.58630496009,2.241657616
2013-03,1593.08619047619,4.22735885,94.54730708283,4377.35833333333,0.40773866737,109.24,108.3844804413,143.0186482782,1909.56666666667,83.53636843226,2.342629212
2013-02,1627.57,4.279718575,101.34065726775,4390.59166666667,0.40283306556,116.5195,110.41770250031,142.8549061375,2053.595,83.89454217474,2.293466186
2013-01,1671.84782608696,4.307276325,100.28575364763,4416.93333333333,0.416101983,112.97363636364,111.52264974322,144.79707907567,2037.75,86.17019417678,2.197785678
2012-12,1684.762,4.31554365,97.42328329313,4341.30833333333,0.425712122,109.6765,112.41378349986,147.24982297755,2086.76315789474,87.01777122583,2.129442458
2012-11,1721.64,4.246649275,92.41514908431,4268.775,0.42635251162,109.71181818182,113.03223554791,151.86012167557,1948.82954545455,88.86491710781,2.153252354
2012-10,1746.58,4.01020378,94.00176961033,4223.95,0.44778707791,111.97347826087,115.19316804312,151.43495746123,1974.3,91.95158900073,2.303166514
2012-09,1744.81,3.97382755,93.5892224785,4191.46666666667,0.44065712495,113.3825,118.45078918544,151.19583872991,2064.12,95.46417617845,2.31374869
2012-08,1630.31,4.04106846,87.65118551064,4207.93333333333,0.460324656,113.34,118.60329913768,153.68925998217,1845.37608695652,93.70902267381,2.34838039461
2012-07,1594.29,3.98815758,91.1857005338,4191.41666666667,0.504417056,103.14090909091,118.6930878268,153.58440302702,1876.25,94.19263750029,2.360266172
2012-06,1598.76,4.0454777,91.63118125981,4282.96666666667,0.451285714,95.58904761905,110.67357503133,132.52153046544,1890.17857142857,88.69010563338,2.33028334
2012-05,1589.04,4.108860525,96.62863982128,4355.23333333333,0.458781422,110.52173913044,113.11582518492,131.71167757499,2007.63095238095,92.51905909998,2.356297856
2012-04,1649.2,4.235626175,100.95386652161,4354.075,0.50155105,120.4635,114.75003900049,129.66108521716,2049.67,91.30368994278,2.24430316
2012-03,1675.95,4.268695475,103.54326762651,4379.00833333333,0.53131342,124.92863636364,114.64146778616,132.79212981822,2184.16,92.19391691837,2.283324934
2012-02,1744.82,4.2769628,104.00500763309,4417.525,0.531754344,119.70238095238,113.41096906368,130.96249383678,2207.92,97.0046644488,2.247169166
2012-01,1654.05,4.19649417,100.50247509191,4414.58333333333,0.519408472,111.15619047619,110.96072960256,129.39538175997,2144.2,98.70609623182,2.132308464
2011-12,1639.97,4.191533775,95.07594280566,4438.68333333333,0.507944448,107.90904761905,109.05897175754,128.35561741273,2022.25,97.7556395216,2.169566542
2011-11,1739,4.16452718,95.83966482156,4522.575,0.529549724,110.50409090909,112.21732136455,134.9698945119,2079.98,103.58772964873,2.143772488
2011-10,1666.43,3.860840775,98.38978774846,4582.75833333333,0.56107579,109.46857142857,115.60135569677,134.92079965547,2180.65,106.69178344541,2.16273222
2011-09,1772.14,3.87461965,109.08108734898,4595.3,0.587751692,110.87909090909,121.56685897332,142.43418536213,2293.46,114.82628656004,2.338219972
2011-08,1759.01,3.98815758,114.76937520668,4569.35833333333,0.61178205,110.08130434783,123.1878151112,144.87648176432,2379.35,117.82214175651,2.470717634
2011-07,1572.75,3.95178135,120.98702273544,4458.56666666667,0.622143764,116.46,122.55148060308,138.6903747644,2525.43,119.14831386475,2.485268126
2011-06,1529.36,3.90438202,116.97693495795,4389.70833333333,0.555784702,113.75772727273,123.21531653323,141.75840849393,2557.76,118.79154251288,2.60034929
2011-05,1512.58,4.02894305,118.49279648344,4431.15,0.48391409,114.45818181818,123.89379728807,142.39831650156,2596.45,122.48851949519,2.689195476
2011-04,1480.89,4.2549166,124.28530280696,4606.99166666667,0.537045432,123.07,127.39302568287,142.90802539471,2678.11,124.7371061526,2.587562494
2011-03,1423.26,4.14027636,121.37058532795,4537.675,0.578492288,114.44130434783,125.77644510852,134.78163939981,2555.5,124.81180390787,2.604317606
2011-02,1374.68,4.048233475,125.81963076352,4317.06666666667,0.649701514,103.9555,130.06455804925,140.63044813685,2508.175,124.6314081428,2.41075197
2011-01,1360.46,4.09691883333,120.8067798945,4370.775,0.652787982,96.29428571429,124.31783526938,131.58028374977,2439.525,116.40276508423,2.228650358
2010-12,1390.553,3.74417963333,114.52350827588,4354.80833333333,0.616872718,91.79652173913,118.80001137872,126.92491855198,2350.667,111.56568166848,2.074326958
2010-11,1369.886,3.4392072,109.42690316234,4372.175,0.58091737,85.67,113.67731334842,119.25137543132,2333.068,106.76718655999,2.029132248
2010-10,1342.024,3.41164945,108.27305434035,4357.49166666667,0.542556982,82.9180952381,108.89972496734,116.43334747965,2346.57,103.26963062619,1.879879474
2010-09,1270.977,3.3510224,100.63755177404,4358.35,0.496259962,77.78681818182,103.81962115295,109.28437978418,2162.341,102.84608683663,1.791915136
2010-08,1215.81,3.364801275,97.58761195116,4350.09166666667,0.408075162,76.69318181818,99.87024023127,98.12503077498,2118.143,103.28615272056,1.822779816
2010-07,1192.966,3.210477875,89.19850455079,4381.85,0.384926652,74.73545454545,95.68168969147,89.04030699173,1988.273,103.15595128193,1.879879474
2010-06,1232.92,3.196699,89.09092808728,4337.80833333333,0.350093656,74.83818181818,92.48143327182,81.95682297213,1931.386,98.99215055136,1.695793704
2010-05,1205.434,3.47778805,96.01636655021,4244.575,0.33510224,76.25095238095,92.3374508555,87.62720442447,2040.526,94.84764321987,1.556682182
2010-04,1148.688,3.596286375,108.14545826422,4179.79166666667,0.36265999,84.97857142857,93.1475669052,88.62498319851,2316.725,94.57830078221,1.576744224
2010-03,1113.337,3.34881778,99.41678341999,4206.93333333333,0.411382092,79.2747826087,91.6975627826,90.97870232692,2205.63,90.70664936901,1.48260695
2010-02,1095.413,3.12504885,91.1065927433,4389.29166666667,0.559753018,74.312,93.43052129812,93.71402226401,2048.925,93.15524690321,1.496496056
2010-01,1117.963,2.951435025,96.57673688045,4465.53333333333,0.583562914,76.373,96.15686411658,98.03890580013,2235.15,96.82931948055,1.544997696
2009-12,1134.724,2.7998674,90.2933621993,4460.68333333333,0.518747086,74.66954545455,95.04241812102,99.47081447698,2180.095,96.80255165085,1.5407207332
2009-11,1127.036,2.755775,84.69645851051,4427.4,0.490748412,77.03666666667,94.14922356019,98.69888852423,1949.286,94.82338935993,1.531769976
2009-10,1043.159,2.648299775,80.52635177315,4329.45,0.499125968,73.19409090909,91.56903935458,92.72164614087,1878.568,95.44874318091,1.620616162
2009-09,996.591,2.72711494,77.94030774342,4300.35,0.508385372,67.68681818182,90.11729301652,89.07850022652,1834.114,92.46465063088,1.627450484
2009-08,949.375,2.7337288,81.62767897716,4272.55833333333,0.494716728,72.50476190476,90.84179222336,92.50624923906,1933.75,89.31887213943,1.59504257
2009-07,934.228,2.7337288,69.66553685381,4238.85833333333,0.406311466,64.91,88.2599158532,97.30365753407,1667.957,85.46621441594,1.580271616
2009-06,945.67,2.692392175,65.56631045343,4245.09166666667,0.362219066,68.61681818182,92.05297378273,107.38429528131,1573.727,85.21767424024,1.626789098
2009-05,928.645,2.63672552,59.4276484875,4226.725,0.353621048,57.94095238095,91.73376275286,104.98827491375,1460.447,82.55132406663,1.667133644
2009-04,890.2,2.55515458,56.73932440549,4191.175,0.30093063,50.84523809524,86.32408220181,99.93652196138,1420.85,79.35323374204,1.665149486
2009-03,924.273,2.477441725,51.82135539392,4203.6,0.29541908,46.83909090909,83.07396748431,101.2557807528,1335.841,76.00409835907,1.682345522
2009-02,943,2.361699175,51.01072497992,4097.5,0.292553074,43.2425,83.98286707686,100.38541462287,1330.2,77.78605109439,1.768546164
2009-01,858.69,2.516022575,51.68612290621,3828.99166666667,0.277561658,44.86,84.59471683859,103.63499710547,1413.119,77.93700258209,1.824102588
2008-12,816.092,2.47652313333,50.63123693475,3775.49,0.25904285,41.58090909091,79.29835174739,95.16945657517,1490.429,71.90225684644,1.819031962
2008-11,760.863,2.535313,58.7096512292,3740.82,0.266979482,53.241,82.01323641581,98.73541503606,1852.425,69.72570105692,2.000913112
2008-10,806.62,3.02914788,72.29347635486,3804.36,0.26234978,72.84260869565,86.66163129774,108.00967096205,2121.413,74.40589698801,1.957041174
2008-09,829.932,3.56597285,98.02210471799,3748.63,0.298285086,99.06409090909,101.60659182044,131.4211152222,2525.818,87.24676152993,2.323228556
2008-08,839.025,3.734075125,109.90311983671,3704.49,0.322094982,113.84904761905,106.40519827945,136.63201485221,2764.375,90.58070298052,2.481520272
2008-07,939.772,3.871863875,118.90987058632,3654.88,0.313717426,133.87304347826,115.21859332439,146.36402112939,3071.239,92.97050039663,2.540383626
2008-06,889.488,3.568728625,117.97931591988,3565.33,0.267420406,133.04857142857,116.69376646786,154.83884448571,2957.857,92.11981732849,2.454623908
2008-05,888.663,3.38850094,121.31300547041,3485.76,0.266097634,123.93619047619,112.89944803326,151.89199346123,2902.9,86.19326742219,2.400390256
2008-04,909.705,3.023085175,125.45220505939,3410.54,0.276900272,110.18772727273,112.37633995346,156.6350547208,2959.273,85.38818786626,2.453521598
2008-03,968.434,2.940411925,126.25735791172,3348.3,0.29100984,103.2775,111.03025104296,143.19459706296,3005.289,88.44330099914,2.687872704
2008-02,922.298,2.835692475,117.66387307462,3387.51,0.297844162,94.81666666667,105.14658939926,130.12542642062,2776.929,87.1711238998,2.54523379
2008-01,889.595,2.686549932,109.54930435146,3438.78,0.263893014,91.92045454545,97.44840147167,115.28288704698,2445.523,78.27319322629,2.187203502
2007-12,803.203,2.6345209,105.31024055676,3433.31,0.235232954,91.45,92.70989449961,108.17541233047,2381.694,75.44188650884,2.014802218
2007-11,806.248,2.603105065,112.14130372209,3348.08,0.22266662,92.52818181818,89.81955633171,99.49170678582,2506.886,72.04785776412,2.041257658
2007-10,754.604,2.55515458,114.419785097,3280.16,0.220462,82.85782608696,87.28083705194,98.87390830559,2442.37,72.04962776048,2.00840882
2007-09,712.653,2.60696315,108.1843053398,3302.92,0.215170912,77.127,85.01174783074,96.31289493912,2391.25,70.68465772669,2.045446436
2007-08,665.411,2.61027008,105.4904970349,3307.6,0.216273222,70.79652173913,81.6736102924,86.49807104741,2515.773,68.40025370262,1.927719728
2007-07,665.38,2.5904285,111.0602077201,3364.03,0.224430316,77.20409090909,81.18074199254,83.6650851721,2732.44,71.36770193297,2.039493962
2007-06,655.66,2.620742025,110.02408356799,3409.32,0.204809198,71.31619047619,79.81689133455,85.78298252288,2676.93,69.69727201115,2.043241816
2007-05,667.31,2.58381464,116.37934253623,3397.24,0.207895666,67.47608695652,77.04652803714,80.71130279216,2792.75,66.53113040911,1.849896642
2007-04,679.368,2.593184275,114.37652220803,3361.26,0.214289064,67.39842105263,75.63705738358,79.18509922264,2814.789,66.17029677939,1.754436596
2007-03,654.895,2.60696315,104.58692035619,3298.14,0.230162328,62.14363636364,74.97249277105,83.30795215875,2761.727,64.40723465243,1.6975574
2007-02,664.745,2.61798625,98.6930611931,3182.84,0.233028334,57.757,75.07624822339,84.54305342429,2832.2,64.33371502805,1.743413496
2007-01,631.166,2.6124747,96.82743702612,3095.78,0.24140589,54.29909090909,73.21796329751,81.24080474507,2809.341,63.47668909046,1.744515806
2006-12,629.791,2.67310175,101.76709173605,3063.55,0.255074534,62.31473684211,72.500430486,80.68397056235,2813.632,64.23078615244,1.690282154
2006-11,627.827,2.6786133,101.06505373314,3149.23,0.259704236,58.48318181818,71.37995419781,81.59923653716,2702.795,61.37691560561,1.692927698
2006-10,585.78,2.598695825,101.69728706623,3152.8,0.256617768,58.38,69.09455986057,76.97969066785,2654.591,58.84795508452,1.657212854
2006-09,598.186,2.5904285,97.79142159722,3119.58,0.266318096,62.7719047619,67.435965319,70.68302658573,2472.881,59.72664859619,1.699982482
2006-08,632.593,2.59263312,98.00816204438,3038.08,0.29797835626,73.61217391304,68.09818865009,69.05734047072,2459.932,60.53059208543,1.622379858
2006-07,633.71,2.538068775,97.16914952323,2955.27,0.35384151,73.89714285714,68.11512083171,70.01210076846,2512.714,59.15041211989,1.421759438
2006-06,596.145,2.45263975,91.45682883415,2854.88,0.33951148,68.85772727273,67.25890581465,67.88223059857,2477.341,57.2744327605,1.327842626
2006-05,675.393,2.48460674,101.26719189323,2831.11,0.370817084,70.18727272727,68.51804108338,67.66620458496,2861.476,57.72686667153,1.324535696
2006-04,610.653,2.481850965,87.79851435963,2824.88,0.385588038,70.44210526316,66.14107445625,65.09409941297,2621.111,58.38916923908,1.33489741
2006-03,557.093,2.4471282,76.34994982276,2828.38,0.380076488,62.25304347826,65.78963270586,63.91991581679,2429.13,56.99424886307,1.31395352
2006-02,554.995,2.5242899,75.58032538622,2895.37398835948,0.397713448,59.923,67.04396086005,64.83776044203,2455.325,59.45635633178,1.388469676
2006-01,549.864,2.504999475,73.12580179226,2917.2121956324,0.34722765,63.57428571429,65.01437951288,61.84671430832,2377.857,59.41269513867,1.397508618
2005-12,510.097,2.54082455,69.36903412299,2946.0871956324,0.293434922,56.7475,62.93031046933,60.7495614477,2247.45,54.10868279909,1.243185218
2005-11,476.666,2.5794054,64.3557698844,2860.42768760873,0.250885756,55.535,61.64470985336,58.61686393581,2050.591,53.0907765122,1.13427699
2005-10,469.898,2.5683823,61.68131501242,2770.56331914306,0.245153744,58.5219047619,62.19442335397,61.3466083971,1928.714,52.52704369707,1.047855886
2005-09,456.048,2.65105555,60.04192687353,2760.72854089986,0.227296322,62.98181818182,61.32242353942,59.11672092859,1839.909,51.79335832759,1.033305394
2005-08,437.93,2.645544,60.14032431121,2746.67708144165,0.218918766,64.09,60.64263629128,58.96642996885,1867.841,53.70980253694,1.145741014
2005-07,424.479,2.70617105,57.77035895045,2791.86275210174,0.212525368,57.57904761905,61.46290065947,59.23110057827,1778.786,55.08652352852,1.276034056
2005-06,430.657,2.660094492,57.62067215179,2817.64279910233,0.19951811,54.30681818182,61.66998837288,57.15288230336,1731.295,57.72240477752,1.323212924
2005-05,421.873,2.67751099,56.64913293824,2795.59958258039,0.189376858,48.66590909091,61.89917656141,57.37777258094,1743.7,57.9636004734,1.236130434
2005-04,429.233,2.60696315,59.0539913762,2787.20897930686,0.189376858,51.85714285714,62.11811226217,57.60687539108,1894.286,59.15000271613,1.11884465
2005-03,433.85,2.63893014,60.22413855165,2769.41375397174,0.195770256,53.08409090909,63.57401742446,59.2809880258,1979.85,61.15262715996,1.091507362
2005-02,423.35,2.587672725,57.93918388268,2734.03133522637,0.20062042,45.557,60.44135895887,57.7119386537,1882.85,56.10726684936,0.909185288
2005-01,424.03,2.54082455,56.3984442549,2695.57553219759,0.192242864,44.28333333333,58.59287821113,58.34382229737,1834.425,52.26067465251,0.814827552
2004-12,442.079,2.59410286667,52.65549246821,2708.32,0.18188115,39.64428571429,58.16638007238,57.67631334409,1849.179,53.59882304645,0.809536464
